,,,Total Trips
Year3Chelsea-Greenwich Village,Chelsea-Greenwich Village,Year3,66099
Year1Chelsea-Hells Kitchen,Chelsea-Hells Kitchen,Year1,97321
Year2Chelsea-Hells Kitchen,Chelsea-Hells Kitchen,Year2,92147
Year3Chelsea-Hells Kitchen,Chelsea-Hells Kitchen,Year3,128962
Year1Chelsea-Kips Bay,Chelsea-Kips Bay,Year1,43657
Year2Chelsea-Kips Bay,Chelsea-Kips Bay,Year2,42227
Year3Chelsea-Kips Bay,Chelsea-Kips Bay,Year3,50133
Year3Chelsea-Long Island City,Chelsea-Long Island City,Year3,654
Year1Chelsea-Lower East Side,Chelsea-Lower East Side,Year1,18076
Year2Chelsea-Lower East Side,Chelsea-Lower East Side,Year2,15157
Year3Chelsea-Lower East Side,Chelsea-Lower East Side,Year3,20564
Year1Chelsea-Midtown,Chelsea-Midtown,Year1,148718
Year2Chelsea-Midtown,Chelsea-Midtown,Year2,141580
Year3Chelsea-Midtown,Chelsea-Midtown,Year3,178071
Year1Chelsea-Murray Hill,Chelsea-Murray Hill,Year1,24759
Year2Chelsea-Murray Hill,Chelsea-Murray Hill,Year2,26426
Year3Chelsea-Murray Hill,Chelsea-Murray Hill,Year3,43197
Year1Chelsea-Navy Yard,Chelsea-Navy Yard,Year1,24
Year2Chelsea-Navy Yard,Chelsea-Navy Yard,Year2,28
Year3Chelsea-Navy Yard,Chelsea-Navy Yard,Year3,68
Year1Chelsea-NoHo,Chelsea-NoHo,Year1,2833
Year2Chelsea-NoHo,Chelsea-NoHo,Year2,2075
Year3Chelsea-NoHo,Chelsea-NoHo,Year3,3024
Year1Chelsea-Nolita,Chelsea-Nolita,Year1,8953
Year2Chelsea-Nolita,Chelsea-Nolita,Year2,9732
Year3Chelsea-Nolita,Chelsea-Nolita,Year3,10818
Year1Chelsea-Park Slope,Chelsea-Park Slope,Year1,337
Year2Chelsea-Park Slope,Chelsea-Park Slope,Year2,213
Year3Chelsea-Park Slope,Chelsea-Park Slope,Year3,464
Year1Chelsea-SoHo,Chelsea-SoHo,Year1,27247
Year2Chelsea-SoHo,Chelsea-SoHo,Year2,24420
Year3Chelsea-SoHo,Chelsea-SoHo,Year3,38301
Year1Chelsea-Stuyvesant Town,Chelsea-Stuyvesant Town,Year1,16331
Year2Chelsea-Stuyvesant Town,Chelsea-Stuyvesant Town,Year2,15246
Year3Chelsea-Stuyvesant Town,Chelsea-Stuyvesant Town,Year3,22106
Year2Chelsea-Sunset Park,Chelsea-Sunset Park,Year2,2
Year3Chelsea-Sunset Park,Chelsea-Sunset Park,Year3,4
Year1Chelsea-Theater District,Chelsea-Theater District,Year1,33117
Year2Chelsea-Theater District,Chelsea-Theater District,Year2,33387
Year3Chelsea-Theater District,Chelsea-Theater District,Year3,39792
Year1Chelsea-Tribeca,Chelsea-Tribeca,Year1,29386
Year2Chelsea-Tribeca,Chelsea-Tribeca,Year2,23696
Year3Chelsea-Tribeca,Chelsea-Tribeca,Year3,31349
Year1Chelsea-Two Bridges,Chelsea-Two Bridges,Year1,765
Year2Chelsea-Two Bridges,Chelsea-Two Bridges,Year2,652
Year3Chelsea-Two Bridges,Chelsea-Two Bridges,Year3,1027
Year1Chelsea-Upper East Side,Chelsea-Upper East Side,Year1,1300
Year2Chelsea-Upper East Side,Chelsea-Upper East Side,Year2,1171
Year3Chelsea-Upper East Side,Chelsea-Upper East Side,Year3,13312
Year1Chelsea-Upper West Side,Chelsea-Upper West Side,Year1,12580
Year2Chelsea-Upper West Side,Chelsea-Upper West Side,Year2,14725
Year3Chelsea-Upper West Side,Chelsea-Upper West Side,Year3,32065
Year1Chelsea-Vinegar Hill,Chelsea-Vinegar Hill,Year1,491
Year2Chelsea-Vinegar Hill,Chelsea-Vinegar Hill,Year2,265
Year3Chelsea-Vinegar Hill,Chelsea-Vinegar Hill,Year3,388
Year1Chelsea-West Village,Chelsea-West Village,Year1,91434
Year2Chelsea-West Village,Chelsea-West Village,Year2,92259
Year3Chelsea-West Village,Chelsea-West Village,Year3,124831
Year1Chelsea-Williamsburg,Chelsea-Williamsburg,Year1,2512
Year2Chelsea-Williamsburg,Chelsea-Williamsburg,Year2,2243
Year3Chelsea-Williamsburg,Chelsea-Williamsburg,Year3,3503
Year1Chinatown-Battery Park City,Chinatown-Battery Park City,Year1,2230
Year2Chinatown-Battery Park City,Chinatown-Battery Park City,Year2,2188
Year3Chinatown-Battery Park City,Chinatown-Battery Park City,Year3,3626
Year1Chinatown-Bedford-Stuyvesant,Chinatown-Bedford-Stuyvesant,Year1,370
Year2Chinatown-Bedford-Stuyvesant,Chinatown-Bedford-Stuyvesant,Year2,504
Year3Chinatown-Bedford-Stuyvesant,Chinatown-Bedford-Stuyvesant,Year3,750
Year1Chinatown-Boerum Hill,Chinatown-Boerum Hill,Year1,731
Year2Chinatown-Boerum Hill,Chinatown-Boerum Hill,Year2,559
Year3Chinatown-Boerum Hill,Chinatown-Boerum Hill,Year3,721
Year1Chinatown-Brooklyn Heights,Chinatown-Brooklyn Heights,Year1,1321
Year2Chinatown-Brooklyn Heights,Chinatown-Brooklyn Heights,Year2,1064
Year3Chinatown-Brooklyn Heights,Chinatown-Brooklyn Heights,Year3,1686
Year1Chinatown-Central Park,Chinatown-Central Park,Year1,52
Year2Chinatown-Central Park,Chinatown-Central Park,Year2,35
Year3Chinatown-Central Park,Chinatown-Central Park,Year3,136
Year1Chinatown-Chelsea,Chinatown-Chelsea,Year1,5188
Year2Chinatown-Chelsea,Chinatown-Chelsea,Year2,3778
Year3Chinatown-Chelsea,Chinatown-Chelsea,Year3,6048
Year1Chinatown-Chinatown,Chinatown-Chinatown,Year1,9398
Year2Chinatown-Chinatown,Chinatown-Chinatown,Year2,8220
Year3Chinatown-Chinatown,Chinatown-Chinatown,Year3,10493
Year1Chinatown-Civic Center,Chinatown-Civic Center,Year1,3515
Year2Chinatown-Civic Center,Chinatown-Civic Center,Year2,3596
Year3Chinatown-Civic Center,Chinatown-Civic Center,Year3,4800
Year1Chinatown-Clinton Hill,Chinatown-Clinton Hill,Year1,770
Year2Chinatown-Clinton Hill,Chinatown-Clinton Hill,Year2,869
Year3Chinatown-Clinton Hill,Chinatown-Clinton Hill,Year3,1112
Year1Chinatown-Columbia St,Chinatown-Columbia St,Year1,120
Year2Chinatown-Columbia St,Chinatown-Columbia St,Year2,166
Year3Chinatown-Columbia St,Chinatown-Columbia St,Year3,141
Year1Chinatown-DUMBO,Chinatown-DUMBO,Year1,993
Year2Chinatown-DUMBO,Chinatown-DUMBO,Year2,847
Year3Chinatown-DUMBO,Chinatown-DUMBO,Year3,1316
Year1Chinatown-Downtown Brooklyn,Chinatown-Downtown Brooklyn,Year1,2935
Year2Chinatown-Downtown Brooklyn,Chinatown-Downtown Brooklyn,Year2,2442
Year3Chinatown-Downtown Brooklyn,Chinatown-Downtown Brooklyn,Year3,3169
Year1Chinatown-East Village,Chinatown-East Village,Year1,15819
Year2Chinatown-East Village,Chinatown-East Village,Year2,15959
Year3Chinatown-East Village,Chinatown-East Village,Year3,22659
Year1Chinatown-Financial District,Chinatown-Financial District,Year1,11685
Year2Chinatown-Financial District,Chinatown-Financial District,Year2,11497
Year3Chinatown-Financial District,Chinatown-Financial District,Year3,16247
Year1Chinatown-Flatiron District,Chinatown-Flatiron District,Year1,951
Year2Chinatown-Flatiron District,Chinatown-Flatiron District,Year2,922
Year3Chinatown-Flatiron District,Chinatown-Flatiron District,Year3,1387
Year1Chinatown-Fort Greene,Chinatown-Fort Greene,Year1,1966
Year2Chinatown-Fort Greene,Chinatown-Fort Greene,Year2,2268
Year3Chinatown-Fort Greene,Chinatown-Fort Greene,Year3,3656
Year3Chinatown-Governors Island,Chinatown-Governors Island,Year3,2
Year1Chinatown-Gramercy,Chinatown-Gramercy,Year1,2640
Year2Chinatown-Gramercy,Chinatown-Gramercy,Year2,2826
Year3Chinatown-Gramercy,Chinatown-Gramercy,Year3,3128
Year3Chinatown-Greenpoint,Chinatown-Greenpoint,Year3,402
Year1Chinatown-Greenwich Village,Chinatown-Greenwich Village,Year1,4866
Year2Chinatown-Greenwich Village,Chinatown-Greenwich Village,Year2,4530
Year3Chinatown-Greenwich Village,Chinatown-Greenwich Village,Year3,6009
Year1Chinatown-Hells Kitchen,Chinatown-Hells Kitchen,Year1,1357
Year2Chinatown-Hells Kitchen,Chinatown-Hells Kitchen,Year2,1031
Year3Chinatown-Hells Kitchen,Chinatown-Hells Kitchen,Year3,1302
Year1Chinatown-Kips Bay,Chinatown-Kips Bay,Year1,3118
Year2Chinatown-Kips Bay,Chinatown-Kips Bay,Year2,3397
Year3Chinatown-Kips Bay,Chinatown-Kips Bay,Year3,4162
Year3Chinatown-Long Island City,Chinatown-Long Island City,Year3,67
Year1Chinatown-Lower East Side,Chinatown-Lower East Side,Year1,27688
Year2Chinatown-Lower East Side,Chinatown-Lower East Side,Year2,28112
Year3Chinatown-Lower East Side,Chinatown-Lower East Side,Year3,34093
Year1Chinatown-Midtown,Chinatown-Midtown,Year1,4348
Year2Chinatown-Midtown,Chinatown-Midtown,Year2,3636
Year3Chinatown-Midtown,Chinatown-Midtown,Year3,4702
Year1Chinatown-Murray Hill,Chinatown-Murray Hill,Year1,1156
Year2Chinatown-Murray Hill,Chinatown-Murray Hill,Year2,1249
Year3Chinatown-Murray Hill,Chinatown-Murray Hill,Year3,1924
Year1Chinatown-Navy Yard,Chinatown-Navy Yard,Year1,135
Year2Chinatown-Navy Yard,Chinatown-Navy Yard,Year2,215
Year3Chinatown-Navy Yard,Chinatown-Navy Yard,Year3,331
Year1Chinatown-NoHo,Chinatown-NoHo,Year1,1172
Year2Chinatown-NoHo,Chinatown-NoHo,Year2,845
Year3Chinatown-NoHo,Chinatown-NoHo,Year3,1505
Year1Chinatown-Nolita,Chinatown-Nolita,Year1,4856
Year2Chinatown-Nolita,Chinatown-Nolita,Year2,5352
Year3Chinatown-Nolita,Chinatown-Nolita,Year3,5105
Year1Chinatown-Park Slope,Chinatown-Park Slope,Year1,509
Year2Chinatown-Park Slope,Chinatown-Park Slope,Year2,416
Year3Chinatown-Park Slope,Chinatown-Park Slope,Year3,594
Year1Chinatown-SoHo,Chinatown-SoHo,Year1,6312
Year2Chinatown-SoHo,Chinatown-SoHo,Year2,6681
Year3Chinatown-SoHo,Chinatown-SoHo,Year3,9122
Year1Chinatown-Stuyvesant Town,Chinatown-Stuyvesant Town,Year1,2059
Year2Chinatown-Stuyvesant Town,Chinatown-Stuyvesant Town,Year2,3073
Year3Chinatown-Stuyvesant Town,Chinatown-Stuyvesant Town,Year3,3430
Year2Chinatown-Sunset Park,Chinatown-Sunset Park,Year2,1
Year3Chinatown-Sunset Park,Chinatown-Sunset Park,Year3,88
Year1Chinatown-Theater District,Chinatown-Theater District,Year1,706
Year2Chinatown-Theater District,Chinatown-Theater District,Year2,570
Year3Chinatown-Theater District,Chinatown-Theater District,Year3,422
Year1Chinatown-Tribeca,Chinatown-Tribeca,Year1,11196
Year2Chinatown-Tribeca,Chinatown-Tribeca,Year2,10078
Year3Chinatown-Tribeca,Chinatown-Tribeca,Year3,13112
Year1Chinatown-Two Bridges,Chinatown-Two Bridges,Year1,3331
Year2Chinatown-Two Bridges,Chinatown-Two Bridges,Year2,3287
Year3Chinatown-Two Bridges,Chinatown-Two Bridges,Year3,4597
Year1Chinatown-Upper East Side,Chinatown-Upper East Side,Year1,104
Year2Chinatown-Upper East Side,Chinatown-Upper East Side,Year2,67
Year3Chinatown-Upper East Side,Chinatown-Upper East Side,Year3,582
Year1Chinatown-Upper West Side,Chinatown-Upper West Side,Year1,243
Year2Chinatown-Upper West Side,Chinatown-Upper West Side,Year2,238
Year3Chinatown-Upper West Side,Chinatown-Upper West Side,Year3,416
Year1Chinatown-Vinegar Hill,Chinatown-Vinegar Hill,Year1,1757
Year2Chinatown-Vinegar Hill,Chinatown-Vinegar Hill,Year2,1599
Year3Chinatown-Vinegar Hill,Chinatown-Vinegar Hill,Year3,1866
Year1Chinatown-West Village,Chinatown-West Village,Year1,3768
Year2Chinatown-West Village,Chinatown-West Village,Year2,3707
Year3Chinatown-West Village,Chinatown-West Village,Year3,4878
Year1Chinatown-Williamsburg,Chinatown-Williamsburg,Year1,1802
Year2Chinatown-Williamsburg,Chinatown-Williamsburg,Year2,1511
Year3Chinatown-Williamsburg,Chinatown-Williamsburg,Year3,2978
Year1Civic Center-Battery Park City,Civic Center-Battery Park City,Year1,5893
Year2Civic Center-Battery Park City,Civic Center-Battery Park City,Year2,5537
Year3Civic Center-Battery Park City,Civic Center-Battery Park City,Year3,7748
Year1Civic Center-Bedford-Stuyvesant,Civic Center-Bedford-Stuyvesant,Year1,309
Year2Civic Center-Bedford-Stuyvesant,Civic Center-Bedford-Stuyvesant,Year2,242
Year3Civic Center-Bedford-Stuyvesant,Civic Center-Bedford-Stuyvesant,Year3,417
Year1Civic Center-Boerum Hill,Civic Center-Boerum Hill,Year1,890
Year2Civic Center-Boerum Hill,Civic Center-Boerum Hill,Year2,633
Year3Civic Center-Boerum Hill,Civic Center-Boerum Hill,Year3,750
Year1Civic Center-Brooklyn Heights,Civic Center-Brooklyn Heights,Year1,3747
Year2Civic Center-Brooklyn Heights,Civic Center-Brooklyn Heights,Year2,3212
Year3Civic Center-Brooklyn Heights,Civic Center-Brooklyn Heights,Year3,5608
Year1Civic Center-Central Park,Civic Center-Central Park,Year1,26
Year2Civic Center-Central Park,Civic Center-Central Park,Year2,46
Year3Civic Center-Central Park,Civic Center-Central Park,Year3,118
Year1Civic Center-Chelsea,Civic Center-Chelsea,Year1,3622
Year2Civic Center-Chelsea,Civic Center-Chelsea,Year2,3183
Year3Civic Center-Chelsea,Civic Center-Chelsea,Year3,4237
Year1Civic Center-Chinatown,Civic Center-Chinatown,Year1,3788
Year2Civic Center-Chinatown,Civic Center-Chinatown,Year2,3561
Year3Civic Center-Chinatown,Civic Center-Chinatown,Year3,5229
Year1Civic Center-Civic Center,Civic Center-Civic Center,Year1,7536
Year2Civic Center-Civic Center,Civic Center-Civic Center,Year2,7974
Year3Civic Center-Civic Center,Civic Center-Civic Center,Year3,10396
Year1Civic Center-Clinton Hill,Civic Center-Clinton Hill,Year1,435
Year2Civic Center-Clinton Hill,Civic Center-Clinton Hill,Year2,266
Year3Civic Center-Clinton Hill,Civic Center-Clinton Hill,Year3,515
Year1Civic Center-Columbia St,Civic Center-Columbia St,Year1,180
Year2Civic Center-Columbia St,Civic Center-Columbia St,Year2,189
Year3Civic Center-Columbia St,Civic Center-Columbia St,Year3,203
Year1Civic Center-DUMBO,Civic Center-DUMBO,Year1,1612
Year2Civic Center-DUMBO,Civic Center-DUMBO,Year2,1734
Year3Civic Center-DUMBO,Civic Center-DUMBO,Year3,2693
Year1Civic Center-Downtown Brooklyn,Civic Center-Downtown Brooklyn,Year1,6199
Year2Civic Center-Downtown Brooklyn,Civic Center-Downtown Brooklyn,Year2,6522
Year3Civic Center-Downtown Brooklyn,Civic Center-Downtown Brooklyn,Year3,9886
Year1Civic Center-East Village,Civic Center-East Village,Year1,5450
Year2Civic Center-East Village,Civic Center-East Village,Year2,5359
Year3Civic Center-East Village,Civic Center-East Village,Year3,6899
Year1Civic Center-Financial District,Civic Center-Financial District,Year1,14390
Year2Civic Center-Financial District,Civic Center-Financial District,Year2,12634
Year3Civic Center-Financial District,Civic Center-Financial District,Year3,18820
Year1Civic Center-Flatiron District,Civic Center-Flatiron District,Year1,534
Year2Civic Center-Flatiron District,Civic Center-Flatiron District,Year2,580
Year3Civic Center-Flatiron District,Civic Center-Flatiron District,Year3,783
Year1Civic Center-Fort Greene,Civic Center-Fort Greene,Year1,1291
Year2Civic Center-Fort Greene,Civic Center-Fort Greene,Year2,1075
Year3Civic Center-Fort Greene,Civic Center-Fort Greene,Year3,1223
Year3Civic Center-Governors Island,Civic Center-Governors Island,Year3,1
Year1Civic Center-Gramercy,Civic Center-Gramercy,Year1,1779
Year2Civic Center-Gramercy,Civic Center-Gramercy,Year2,1075
Year3Civic Center-Gramercy,Civic Center-Gramercy,Year3,1470
Year3Civic Center-Greenpoint,Civic Center-Greenpoint,Year3,131
Year1Civic Center-Greenwich Village,Civic Center-Greenwich Village,Year1,2573
Year2Civic Center-Greenwich Village,Civic Center-Greenwich Village,Year2,2251
Year3Civic Center-Greenwich Village,Civic Center-Greenwich Village,Year3,3061
Year1Civic Center-Hells Kitchen,Civic Center-Hells Kitchen,Year1,1519
Year2Civic Center-Hells Kitchen,Civic Center-Hells Kitchen,Year2,1024
Year3Civic Center-Hells Kitchen,Civic Center-Hells Kitchen,Year3,1438
Year1Civic Center-Kips Bay,Civic Center-Kips Bay,Year1,990
Year2Civic Center-Kips Bay,Civic Center-Kips Bay,Year2,868
Year3Civic Center-Kips Bay,Civic Center-Kips Bay,Year3,1193
Year3Civic Center-Long Island City,Civic Center-Long Island City,Year3,30
Year1Civic Center-Lower East Side,Civic Center-Lower East Side,Year1,6593
Year2Civic Center-Lower East Side,Civic Center-Lower East Side,Year2,6257
Year3Civic Center-Lower East Side,Civic Center-Lower East Side,Year3,7209
Year1Civic Center-Midtown,Civic Center-Midtown,Year1,2716
Year2Civic Center-Midtown,Civic Center-Midtown,Year2,1996
Year3Civic Center-Midtown,Civic Center-Midtown,Year3,2377
Year1Civic Center-Murray Hill,Civic Center-Murray Hill,Year1,993
Year2Civic Center-Murray Hill,Civic Center-Murray Hill,Year2,1192
Year3Civic Center-Murray Hill,Civic Center-Murray Hill,Year3,1600
Year1Civic Center-Navy Yard,Civic Center-Navy Yard,Year1,18
Year2Civic Center-Navy Yard,Civic Center-Navy Yard,Year2,18
Year3Civic Center-Navy Yard,Civic Center-Navy Yard,Year3,36
Year1Civic Center-NoHo,Civic Center-NoHo,Year1,486
Year2Civic Center-NoHo,Civic Center-NoHo,Year2,367
Year3Civic Center-NoHo,Civic Center-NoHo,Year3,959
Year1Civic Center-Nolita,Civic Center-Nolita,Year1,3261
Year2Civic Center-Nolita,Civic Center-Nolita,Year2,3521
Year3Civic Center-Nolita,Civic Center-Nolita,Year3,3350
Year1Civic Center-Park Slope,Civic Center-Park Slope,Year1,520
Year2Civic Center-Park Slope,Civic Center-Park Slope,Year2,377
Year3Civic Center-Park Slope,Civic Center-Park Slope,Year3,588
Year3Civic Center-Prospect Park,Civic Center-Prospect Park,Year3,2
Year1Civic Center-SoHo,Civic Center-SoHo,Year1,4227
Year2Civic Center-SoHo,Civic Center-SoHo,Year2,3787
Year3Civic Center-SoHo,Civic Center-SoHo,Year3,6862
Year1Civic Center-Stuyvesant Town,Civic Center-Stuyvesant Town,Year1,877
Year2Civic Center-Stuyvesant Town,Civic Center-Stuyvesant Town,Year2,991
Year3Civic Center-Stuyvesant Town,Civic Center-Stuyvesant Town,Year3,1285
Year3Civic Center-Sunset Park,Civic Center-Sunset Park,Year3,2
Year1Civic Center-Theater District,Civic Center-Theater District,Year1,426
Year2Civic Center-Theater District,Civic Center-Theater District,Year2,209
Year3Civic Center-Theater District,Civic Center-Theater District,Year3,358
Year1Civic Center-Tribeca,Civic Center-Tribeca,Year1,16187
Year2Civic Center-Tribeca,Civic Center-Tribeca,Year2,13923
Year3Civic Center-Tribeca,Civic Center-Tribeca,Year3,16887
Year1Civic Center-Two Bridges,Civic Center-Two Bridges,Year1,1507
Year2Civic Center-Two Bridges,Civic Center-Two Bridges,Year2,1299
Year3Civic Center-Two Bridges,Civic Center-Two Bridges,Year3,1849
Year1Civic Center-Upper East Side,Civic Center-Upper East Side,Year1,119
Year2Civic Center-Upper East Side,Civic Center-Upper East Side,Year2,41
Year3Civic Center-Upper East Side,Civic Center-Upper East Side,Year3,423
Year1Civic Center-Upper West Side,Civic Center-Upper West Side,Year1,277
Year2Civic Center-Upper West Side,Civic Center-Upper West Side,Year2,249
Year3Civic Center-Upper West Side,Civic Center-Upper West Side,Year3,545
Year1Civic Center-Vinegar Hill,Civic Center-Vinegar Hill,Year1,566
Year2Civic Center-Vinegar Hill,Civic Center-Vinegar Hill,Year2,528
Year3Civic Center-Vinegar Hill,Civic Center-Vinegar Hill,Year3,733
Year1Civic Center-West Village,Civic Center-West Village,Year1,2600
Year2Civic Center-West Village,Civic Center-West Village,Year2,2447
Year3Civic Center-West Village,Civic Center-West Village,Year3,3460
Year1Civic Center-Williamsburg,Civic Center-Williamsburg,Year1,569
Year2Civic Center-Williamsburg,Civic Center-Williamsburg,Year2,510
Year3Civic Center-Williamsburg,Civic Center-Williamsburg,Year3,1011
Year1Clinton Hill-Battery Park City,Clinton Hill-Battery Park City,Year1,234
Year2Clinton Hill-Battery Park City,Clinton Hill-Battery Park City,Year2,104
Year3Clinton Hill-Battery Park City,Clinton Hill-Battery Park City,Year3,89
Year1Clinton Hill-Bedford-Stuyvesant,Clinton Hill-Bedford-Stuyvesant,Year1,6757
Year2Clinton Hill-Bedford-Stuyvesant,Clinton Hill-Bedford-Stuyvesant,Year2,5448
Year3Clinton Hill-Bedford-Stuyvesant,Clinton Hill-Bedford-Stuyvesant,Year3,11460
Year1Clinton Hill-Boerum Hill,Clinton Hill-Boerum Hill,Year1,1987
Year2Clinton Hill-Boerum Hill,Clinton Hill-Boerum Hill,Year2,1372
Year3Clinton Hill-Boerum Hill,Clinton Hill-Boerum Hill,Year3,1902
Year1Clinton Hill-Brooklyn Heights,Clinton Hill-Brooklyn Heights,Year1,1825
Year2Clinton Hill-Brooklyn Heights,Clinton Hill-Brooklyn Heights,Year2,1410
Year3Clinton Hill-Brooklyn Heights,Clinton Hill-Brooklyn Heights,Year3,2707
Year1Clinton Hill-Central Park,Clinton Hill-Central Park,Year1,5
Year2Clinton Hill-Central Park,Clinton Hill-Central Park,Year2,2
Year3Clinton Hill-Central Park,Clinton Hill-Central Park,Year3,11
Year1Clinton Hill-Chelsea,Clinton Hill-Chelsea,Year1,789
Year2Clinton Hill-Chelsea,Clinton Hill-Chelsea,Year2,579
Year3Clinton Hill-Chelsea,Clinton Hill-Chelsea,Year3,878
Year1Clinton Hill-Chinatown,Clinton Hill-Chinatown,Year1,696
Year2Clinton Hill-Chinatown,Clinton Hill-Chinatown,Year2,872
Year3Clinton Hill-Chinatown,Clinton Hill-Chinatown,Year3,1033
Year1Clinton Hill-Civic Center,Clinton Hill-Civic Center,Year1,462
Year2Clinton Hill-Civic Center,Clinton Hill-Civic Center,Year2,360
Year3Clinton Hill-Civic Center,Clinton Hill-Civic Center,Year3,598
Year1Clinton Hill-Clinton Hill,Clinton Hill-Clinton Hill,Year1,14399
Year2Clinton Hill-Clinton Hill,Clinton Hill-Clinton Hill,Year2,10571
Year3Clinton Hill-Clinton Hill,Clinton Hill-Clinton Hill,Year3,17103
Year1Clinton Hill-Columbia St,Clinton Hill-Columbia St,Year1,290
Year2Clinton Hill-Columbia St,Clinton Hill-Columbia St,Year2,197
Year3Clinton Hill-Columbia St,Clinton Hill-Columbia St,Year3,216
Year1Clinton Hill-DUMBO,Clinton Hill-DUMBO,Year1,1437
Year2Clinton Hill-DUMBO,Clinton Hill-DUMBO,Year2,1206
Year3Clinton Hill-DUMBO,Clinton Hill-DUMBO,Year3,1591
Year1Clinton Hill-Downtown Brooklyn,Clinton Hill-Downtown Brooklyn,Year1,5369
Year2Clinton Hill-Downtown Brooklyn,Clinton Hill-Downtown Brooklyn,Year2,5088
Year3Clinton Hill-Downtown Brooklyn,Clinton Hill-Downtown Brooklyn,Year3,6537
Year1Clinton Hill-East Village,Clinton Hill-East Village,Year1,1602
Year2Clinton Hill-East Village,Clinton Hill-East Village,Year2,777
Year3Clinton Hill-East Village,Clinton Hill-East Village,Year3,1255
Year1Clinton Hill-Financial District,Clinton Hill-Financial District,Year1,696
Year2Clinton Hill-Financial District,Clinton Hill-Financial District,Year2,657
Year3Clinton Hill-Financial District,Clinton Hill-Financial District,Year3,1166
Year1Clinton Hill-Flatiron District,Clinton Hill-Flatiron District,Year1,63
Year2Clinton Hill-Flatiron District,Clinton Hill-Flatiron District,Year2,63
Year3Clinton Hill-Flatiron District,Clinton Hill-Flatiron District,Year3,135
Year1Clinton Hill-Fort Greene,Clinton Hill-Fort Greene,Year1,22377
Year2Clinton Hill-Fort Greene,Clinton Hill-Fort Greene,Year2,22212
Year3Clinton Hill-Fort Greene,Clinton Hill-Fort Greene,Year3,30408
Year3Clinton Hill-Governors Island,Clinton Hill-Governors Island,Year3,3
Year1Clinton Hill-Gramercy,Clinton Hill-Gramercy,Year1,289
Year2Clinton Hill-Gramercy,Clinton Hill-Gramercy,Year2,298
Year3Clinton Hill-Gramercy,Clinton Hill-Gramercy,Year3,356
Year3Clinton Hill-Greenpoint,Clinton Hill-Greenpoint,Year3,1304
Year1Clinton Hill-Greenwich Village,Clinton Hill-Greenwich Village,Year1,1220
Year2Clinton Hill-Greenwich Village,Clinton Hill-Greenwich Village,Year2,488
Year3Clinton Hill-Greenwich Village,Clinton Hill-Greenwich Village,Year3,570
Year1Clinton Hill-Hells Kitchen,Clinton Hill-Hells Kitchen,Year1,214
Year2Clinton Hill-Hells Kitchen,Clinton Hill-Hells Kitchen,Year2,129
Year3Clinton Hill-Hells Kitchen,Clinton Hill-Hells Kitchen,Year3,118
Year1Clinton Hill-Kips Bay,Clinton Hill-Kips Bay,Year1,148
Year2Clinton Hill-Kips Bay,Clinton Hill-Kips Bay,Year2,126
Year3Clinton Hill-Kips Bay,Clinton Hill-Kips Bay,Year3,291
Year3Clinton Hill-Long Island City,Clinton Hill-Long Island City,Year3,279
Year1Clinton Hill-Lower East Side,Clinton Hill-Lower East Side,Year1,700
Year2Clinton Hill-Lower East Side,Clinton Hill-Lower East Side,Year2,713
Year3Clinton Hill-Lower East Side,Clinton Hill-Lower East Side,Year3,868
Year1Clinton Hill-Midtown,Clinton Hill-Midtown,Year1,540
Year2Clinton Hill-Midtown,Clinton Hill-Midtown,Year2,506
Year3Clinton Hill-Midtown,Clinton Hill-Midtown,Year3,499
Year1Clinton Hill-Murray Hill,Clinton Hill-Murray Hill,Year1,100
Year2Clinton Hill-Murray Hill,Clinton Hill-Murray Hill,Year2,84
Year3Clinton Hill-Murray Hill,Clinton Hill-Murray Hill,Year3,304
Year1Clinton Hill-Navy Yard,Clinton Hill-Navy Yard,Year1,680
Year2Clinton Hill-Navy Yard,Clinton Hill-Navy Yard,Year2,368
Year3Clinton Hill-Navy Yard,Clinton Hill-Navy Yard,Year3,539
Year1Clinton Hill-NoHo,Clinton Hill-NoHo,Year1,103
Year2Clinton Hill-NoHo,Clinton Hill-NoHo,Year2,83
Year3Clinton Hill-NoHo,Clinton Hill-NoHo,Year3,121
Year1Clinton Hill-Nolita,Clinton Hill-Nolita,Year1,320
Year2Clinton Hill-Nolita,Clinton Hill-Nolita,Year2,369
Year3Clinton Hill-Nolita,Clinton Hill-Nolita,Year3,416
Year1Clinton Hill-Park Slope,Clinton Hill-Park Slope,Year1,817
Year2Clinton Hill-Park Slope,Clinton Hill-Park Slope,Year2,532
Year3Clinton Hill-Park Slope,Clinton Hill-Park Slope,Year3,920
Year3Clinton Hill-Prospect Park,Clinton Hill-Prospect Park,Year3,14
Year1Clinton Hill-SoHo,Clinton Hill-SoHo,Year1,585
Year2Clinton Hill-SoHo,Clinton Hill-SoHo,Year2,635
Year3Clinton Hill-SoHo,Clinton Hill-SoHo,Year3,893
Year1Clinton Hill-Stuyvesant Town,Clinton Hill-Stuyvesant Town,Year1,63
Year2Clinton Hill-Stuyvesant Town,Clinton Hill-Stuyvesant Town,Year2,62
Year3Clinton Hill-Stuyvesant Town,Clinton Hill-Stuyvesant Town,Year3,177
Year3Clinton Hill-Sunset Park,Clinton Hill-Sunset Park,Year3,2
Year1Clinton Hill-Theater District,Clinton Hill-Theater District,Year1,104
