trip_string,counts
Kips Bay-Claremont Village,1109
Tribeca-Brownsville,1108
Central Park-Two Bridges,1107
East Village-Fresh Meadows,1106
Tribeca-Kew Gardens,1105
Ridgewood-Maspeth,1105
Jamaica-Battery Park City,1104
East Harlem-Riverdale,1104
Kips Bay-Brighton Beach,1102
SoHo-Concourse,1101
Sunnyside-Glendale,1099
Long Island City-East New York,1099
Fort Greene-Forest Hills,1098
Harlem-Jamaica,1097
Clinton Hill-NoHo,1097
Sunset Park-Greenpoint,1096
West Village-Morris Park,1095
Kensington-Williamsburg,1094
Astoria-Longwood,1093
Greenpoint-Glendale,1093
Harlem-Unionport,1093
Greenwich Village-Navy Yard,1092
Jamaica-Central Park,1092
Midtown-Laurelton,1092
Sunnyside-DUMBO,1091
Prospect-Lefferts Gardens-Prospect Park,1091
Theater District-Westchester Square,1091
SoHo-Kew Gardens,1091
East Elmhurst-Fort Greene,1090
East Harlem-Bronxdale,1090
Concourse-Concourse Village,1090
Civic Center-Ditmars Steinway,1089
Bushwick-Harlem,1089
Washington Heights-Norwood,1088
Sunnyside-Kew Gardens,1088
John F. Kennedy International Airport-Bull's Head,1087
Elmhurst-Harlem,1087
Clinton Hill-Nolita,1084
Battery Park City-Roosevelt Island,1084
Theater District-Marble Hill,1084
Kips Bay-Flushing Meadows Corona Park,1082
Flushing Meadows Corona Park-East Elmhurst,1082
Park Slope-Woodside,1081
Flatbush-Windsor Terrace,1081
Financial District-Soundview,1080
Gramercy-Flatlands,1080
East Elmhurst-College Point,1080
Chelsea-Pelham Gardens,1079
Upper East Side-Marine Park,1078
Kensington-South Slope,1078
Gramercy-Port Morris,1078
Gramercy-Soundview,1077
Roosevelt Island-Hell's Kitchen,1076
SoHo-Flushing Meadows Corona Park,1076
Fort Greene-Elmhurst,1075
Upper West Side-Whitestone,1075
Murray Hill-Flatlands,1074
Two Bridges-Harlem,1074
Ridgewood-Bedford-Stuyvesant,1074
Murray Hill-Cypress Hills,1074
Flushing Meadows Corona Park-Flushing,1074
Briarwood-Theater District,1074
Theater District-Howard Beach,1073
Kips Bay-Melrose,1072
Harlem-Roosevelt Island,1072
Morningside Heights-Fort Greene,1071
Sunset Park-Hell's Kitchen,1071
Harlem-Sunset Park,1071
Maspeth-Middle Village,1070
Hell's Kitchen-Navy Yard,1070
Prospect-Lefferts Gardens-South Slope,1068
Little Italy-Ditmars Steinway,1068
Chinatown-Brownsville,1068
Boerum Hill-Sunnyside,1068
Theater District-West Farms,1066
Tribeca-Bayside,1065
Flatbush-Downtown Brooklyn,1065
Sunnyside-Richmond Hill,1064
Central Park-Sunset Park,1064
East Harlem-Co-op City,1063
Upper West Side-Fresh Meadows,1063
Maspeth-East Elmhurst,1063
Upper West Side-Flatlands,1063
Cobble Hill-East Flatbush,1062
Sunset Park-West Village,1062
Long Island City-Bay Ridge,1062
Murray Hill-Melrose,1061
Gowanus-Battery Park City,1060
Cobble Hill-Vinegar Hill,1058
South Slope-LaGuardia Airport,1058
Concourse-Chelsea,1055
Crown Heights-Cobble Hill,1055
Flushing-Bayside,1055
Battery Park City-Rego Park,1055
Bushwick-South Slope,1054
West Village-Woodlawn,1054
South Slope-Battery Park City,1053
Lower East Side-Randall's Island,1051
Rego Park-Hell's Kitchen,1050
Brooklyn Heights-East Elmhurst,1050
DUMBO-Astoria,1048
Greenpoint-Bay Ridge,1048
Corona-Flushing,1048
Long Island City-Whitestone,1047
Gramercy-Briarwood,1047
Clinton Hill-Red Hook,1045
Carroll Gardens-Dyker Heights,1044
Columbia St-John F. Kennedy International Airport,1044
SoHo-Brownsville,1043
Morningside Heights-Forest Hills,1043
Bedford-Stuyvesant-Nolita,1042
Greenwich Village-Spuyten Duyvil,1042
Borough Park-Sunset Park,1041
Columbia St-Financial District,1041
Woodside-Downtown Brooklyn,1040
Richmond Hill-Upper East Side,1038
Kew Gardens-Midtown,1036
Civic Center-Forest Hills,1036
Morningside Heights-Morris Heights,1036
Inwood-Fordham,1035
NoHo-Midwood,1035
Fort Greene-East Elmhurst,1034
Maspeth-Murray Hill,1034
East Village-Marine Park,1033
Murray Hill-Spuyten Duyvil,1032
Flushing Meadows Corona Park-East Village,1032
West Village-Port Morris,1032
Lower East Side-Morris Park,1031
Prospect-Lefferts Gardens-Lower East Side,1030
Park Slope-Canarsie,1029
Red Hook-Crown Heights,1029
John F. Kennedy International Airport-Concord,1029
Gramercy-Riverdale,1028
East Flatbush-Brownsville,1028
Nolita-Fort Hamilton,1028
Downtown Brooklyn-Concourse Village,1028
DUMBO-Little Italy,1028
Downtown Brooklyn-Canarsie,1027
East Flatbush-Flatlands,1027
Upper East Side-Forest Park,1026
Downtown Brooklyn-Flatlands,1024
Park Slope-Bensonhurst,1024
Roosevelt Island-East Harlem,1024
Hunts Point-Hunts Point,1023
Midtown-Bergen Beach,1022
Flatiron District-Riverdale,1020
DUMBO-Stuyvesant Town,1020
Roosevelt Island-Greenpoint,1020
Jamaica-South Ozone Park,1017
Tribeca-Ozone Park,1017
Ditmars Steinway-Corona,1017
Windsor Terrace-Kensington,1017
East Harlem-Prospect Heights,1016
Flatiron District-Jamaica,1016
Greenwich Village-Kew Gardens Hills,1015
Kips Bay-Flatlands,1015
Gowanus-Civic Center,1015
Greenpoint-Prospect Park,1015
trip_string,counts
Tribeca-Cypress Hills,1014
Woodside-Middle Village,1013
Prospect-Lefferts Gardens-East Village,1013
Theater District-Jamaica Hills,1013
Chelsea-Hollis,1013
Civic Center-Borough Park,1012
Throgs Neck-Throgs Neck,1012
Washington Heights-Fieldston,1012
Prospect Park-Clinton Hill,1011
Park Slope-Little Italy,1011
NoHo-Sheepshead Bay,1009
Long Island City-Randall's Island,1009
Central Park-South Ozone Park,1009
Red Hook-East Village,1008
Park Slope-Dyker Heights,1008
Elmhurst-Greenpoint,1007
Chinatown-Jamaica,1007
Tribeca-Concourse,1006
Forest Hills-Upper West Side,1005
Prospect Park-Chelsea,1005
SoHo-Canarsie,1004
Long Island City-Ozone Park,1003
Roosevelt Island-Williamsburg,1002
Williamsburg-Canarsie,1002
Flatbush-Gowanus,1000
Civic Center-Midwood,998
West Village-Soundview,998
Brownsville-Crown Heights,997
Gramercy-Brownsville,997
Belmont-Belmont,997
Bushwick-Brownsville,996
Murray Hill-Fieldston,995
Washington Heights-Parkchester,994
Midwood-Kensington,994
SoHo-Bath Beach,994
Inwood-LaGuardia Airport,993
Nolita-Flushing,992
College Point-Flushing,992
John F. Kennedy International Airport-Castleton Corners,992
Flatbush-Canarsie,992
Clinton Hill-Flatiron District,991
Fort Greene-Midwood,991
Elmhurst-Bushwick,991
Rego Park-Williamsburg,991
Midtown-City Island,990
Jackson Heights-East Village,990
Sunset Park-Lower East Side,990
Prospect-Lefferts Gardens-Boerum Hill,988
Gramercy-Flushing Meadows Corona Park,988
Carroll Gardens-Washington Heights,987
Bushwick-Ditmars Steinway,987
Prospect Park-East Village,986
Morningside Heights-Randall's Island,986
Briarwood-Forest Hills,985
Bushwick-Theater District,985
Ditmars Steinway-Roosevelt Island,985
Jackson Heights-Theater District,985
Prospect Park-Carroll Gardens,985
Flatlands-East Flatbush,983
Forest Hills-Financial District,983
Flatbush-Clinton Hill,983
Ozone Park-John F. Kennedy International Airport,982
Concourse Village-Concourse,981
Bushwick-Kips Bay,981
South Ozone Park-Gramercy,980
Prospect Heights-Ditmars Steinway,980
Greenpoint-Little Italy,980
Civic Center-Maspeth,979
Midtown-Castleton Corners,979
Cobble Hill-Central Park,977
Chinatown-Gravesend,977
Kew Gardens-Jamaica Estates,975
East Harlem-Williamsbridge,975
Carroll Gardens-Midwood,973
Ditmars Steinway-Bushwick,973
Gowanus-Astoria,972
Cobble Hill-Stuyvesant Town,972
Brooklyn Heights-Morningside Heights,971
Crown Heights-Chinatown,971
Williamsburg-Flatlands,971
DUMBO-Harlem,970
Tribeca-Glendale,970
Rego Park-Kips Bay,970
Prospect-Lefferts Gardens-Gowanus,969
Nolita-Borough Park,968
West Village-Allerton,968
East Elmhurst-Richmond Hill,968
Midtown-Arrochar,968
Marble Hill-Washington Heights,968
Maspeth-Greenpoint,967
Windsor Terrace-South Slope,967
Morningside Heights-Norwood,966
Theater District-Marine Park,966
SoHo-Riverdale,966
Theater District-Clason Point,966
Briarwood-Hell's Kitchen,965
Flushing-Whitestone,965
Financial District-Randall's Island,964
Flatbush-John F. Kennedy International Airport,964
Rego Park-Theater District,963
Forest Hills-Fresh Meadows,963
Corona-Theater District,961
Murray Hill-Claremont Village,961
Gowanus-Theater District,961
West Village-University Heights,961
Midtown-Emerson Hill,961
Gowanus-Chinatown,959
Sheepshead Bay-Gravesend,958
Carroll Gardens-Ditmars Steinway,957
East Elmhurst-Clinton Hill,957
Brooklyn Heights-Dyker Heights,956
South Ozone Park-Kips Bay,956
Williamsburg-Briarwood,955
Corona-East Elmhurst,955
Bedford-Stuyvesant-Flatiron District,955
Sunnyside-Sunset Park,955
Washington Heights-Melrose,954
John F. Kennedy International Airport-Broad Channel,953
Kensington-Upper East Side,952
Flatiron District-Briarwood,952
Flatbush-East Village,952
Maspeth-East Village,952
Crown Heights-Cypress Hills,951
Greenwich Village-Morris Park,950
Flushing Meadows Corona Park-Financial District,950
Kensington-Boerum Hill,950
Williamsburg-Ozone Park,949
Corona-Forest Hills,949
Sunnyside-Boerum Hill,949
Windsor Terrace-Sunset Park,948
Gramercy-Bayside,948
Prospect Heights-Jackson Heights,947
South Slope-John F. Kennedy International Airport,947
Carroll Gardens-Ridgewood,946
SoHo-Norwood,946
East Harlem-Pelham Bay,946
John F. Kennedy International Airport-Bronx Park,945
East Harlem-East Flatbush,945
Murray Hill-College Point,945
Tribeca-Canarsie,945
East Village-Pelham Bay,944
John F. Kennedy International Airport-Arrochar,944
Greenwich Village-Woodlawn,943
Greenwich Village-Bayside,942
Bedford-Stuyvesant-Flatlands,942
Park Slope-Washington Heights,941
Stuyvesant Town-Bay Ridge,940
West Village-Claremont Village,939
Greenpoint-Flushing,939
Park Slope-Elmhurst,939
John F. Kennedy International Airport-Navy Yard,939
Richmond Hill-Theater District,937
Crown Heights-Windsor Terrace,935
Clinton Hill-Sunnyside,934
trip_string,counts
Battery Park City-Maspeth,933
DUMBO-Navy Yard,933
Greenpoint-Rego Park,932
Long Island City-Jamaica Estates,931
Tribeca-Parkchester,931
Ditmars Steinway-Bedford-Stuyvesant,931
Mott Haven-Hell's Kitchen,930
New Brighton-New Brighton,930
Long Island City-Little Italy,929
Theater District-St. Albans,929
Carroll Gardens-Two Bridges,928
Astoria-Ozone Park,928
Astoria-Carroll Gardens,928
NoHo-Mott Haven,927
Ditmars Steinway-Tribeca,927
Upper West Side-Schuylerville,925
Prospect Heights-Brownsville,925
DUMBO-East Harlem,924
Columbia St-Cobble Hill,924
Central Park-Flatbush,923
West Village-Marine Park,921
Financial District-Morris Park,921
Central Park-Bay Ridge,920
Murray Hill-North Riverdale,919
Vinegar Hill-East Village,919
Roosevelt Island-Ditmars Steinway,919
Crown Heights-Theater District,918
Roosevelt Island-LaGuardia Airport,918
Columbia St-Upper East Side,918
Briarwood-Richmond Hill,918
Stuyvesant Town-Flushing,917
Prospect Park-Brooklyn Heights,916
Concourse-Longwood,916
Downtown Brooklyn-Gravesend,916
Gramercy-Highbridge,915
Crown Heights-Tribeca,914
Crown Heights-Harlem,913
Flatbush-Upper East Side,913
Stuyvesant Town-Maspeth,913
Prospect Park-Sunset Park,911
Woodside-Mott Haven,911
Tremont-Tremont,911
East Village-Wakefield,910
Upper West Side-Castle Hill,910
East New York-Bedford-Stuyvesant,909
Lower East Side-Soundview,908
Flatiron District-Glendale,908
Woodlawn-Woodlawn,908
Bedford-Stuyvesant-NoHo,907
Prospect Park-Boerum Hill,906
Richmond Hill-Upper West Side,906
Harlem-Williamsbridge,905
Bushwick-East Harlem,905
SoHo-Parkchester,905
Clinton Hill-Civic Center,905
Upper West Side-Brownsville,904
Flatbush-Borough Park,903
Central Park-Longwood,903
Washington Heights-Jackson Heights,902
South Slope-Gramercy,902
Two Bridges-Fort Greene,902
DUMBO-Prospect-Lefferts Gardens,901
Harlem-East Flatbush,901
Chelsea-Van Cortlandt Park,901
Vinegar Hill-Clinton Hill,901
Bedford-Stuyvesant-Windsor Terrace,900
Chelsea-Bellerose,899
Astoria-Boerum Hill,899
Chinatown-Flatlands,898
Harlem-Corona,898
Ditmars Steinway-Rego Park,896
Civic Center-Woodside,895
Allerton-Allerton,895
Prospect-Lefferts Gardens-John F. Kennedy International Airport,895
Flatbush-Sheepshead Bay,894
Sunset Park-SoHo,894
East Elmhurst-Randall's Island,894
Kips Bay-Bath Beach,893
Maspeth-Corona,893
Flushing-Long Island City,892
Kips Bay-Allerton,892
Washington Heights-Stuyvesant Town,892
Morningside Heights-Clinton Hill,892
Brooklyn Heights-Midwood,891
Rego Park-SoHo,891
SoHo-Spuyten Duyvil,891
Roosevelt Island-Murray Hill,890
Rego Park-Jamaica,890
Kensington-Sheepshead Bay,890
Brighton Beach-Sheepshead Bay,889
Lower East Side-Jamaica Estates,888
Gramercy-Spuyten Duyvil,888
South Slope-Astoria,888
Red Hook-Financial District,887
Murray Hill-Allerton,887
Astoria-Kingsbridge,885
Astoria-Gowanus,885
Upper West Side-Springfield Gardens,885
Cobble Hill-Little Italy,884
Flatiron District-Brownsville,884
Morningside Heights-Carroll Gardens,884
SoHo-Bayside,881
Kips Bay-Brownsville,880
Downtown Brooklyn-Bensonhurst,880
Long Island City-Kensington,879
Greenwich Village-Jamaica Estates,879
Bedford-Stuyvesant-Ditmars Steinway,879
Tribeca-Flushing Meadows Corona Park,878
South Slope-Murray Hill,877
Kips Bay-Unionport,877
Hell's Kitchen-Bergen Beach,877
Boerum Hill-Central Park,877
Long Island City-Two Bridges,877
Navy Yard-DUMBO,877
Murray Hill-Unionport,876
Civic Center-Flushing,876
John F. Kennedy International Airport-Shore Acres,875
Brooklyn Heights-Ridgewood,875
Kips Bay-Morris Heights,875
West Village-Whitestone,875
Fort Greene-Maspeth,874
Prospect Park-Gowanus,873
Civic Center-Elmhurst,873
Theater District-Schuylerville,873
Mott Haven-Fordham,873
Vinegar Hill-Midtown,872
Flushing-Kew Gardens Hills,872
Boerum Hill-Little Italy,871
Harlem-Morris Park,871
East Village-College Point,870
Clinton Hill-East New York,869
Fort Greene-Sheepshead Bay,869
Longwood-Melrose,869
Financial District-Fieldston,868
Clinton Hill-Windsor Terrace,867
West Village-Melrose,865
East Harlem-Flushing Meadows Corona Park,865
Washington Heights-Belmont,864
Crown Heights-Kips Bay,864
Tribeca-Briarwood,864
East Harlem-Richmond Hill,864
East New York-John F. Kennedy International Airport,864
Upper East Side-St. Albans,863
St. Albans-St. Albans,862
East Village-Howard Beach,862
East Village-Morrisania,861
Prospect Heights-Stuyvesant Town,861
Jamaica-Washington Heights,861
Two Bridges-LaGuardia Airport,861
Morningside Heights-Parkchester,859
SoHo-Ozone Park,859
SoHo-Briarwood,858
Tribeca-Concourse Village,858
Prospect Park-Windsor Terrace,857
Woodside-Chinatown,857
Gowanus-Long Island City,857
Maspeth-Bushwick,857
Crown Heights-Gramercy,856
East Harlem-Gowanus,855
LaGuardia Airport-Coney Island,855
Prospect-Lefferts Gardens-Greenpoint,855
Greenpoint-Morningside Heights,855
Flatiron District-Bath Beach,854
Harlem-West Farms,853
DUMBO-Prospect Park,853
East Harlem-Ridgewood,853
Concourse Village-East Harlem,852
Flushing-Chelsea,851
Sunnyside-Woodhaven,851
Astoria-Port Morris,850
Central Park-Flushing Meadows Corona Park,850
Rego Park-Kew Gardens,850
Downtown Brooklyn-Dyker Heights,850
Civic Center-Sheepshead Bay,849
East Harlem-Castle Hill,849
Jackson Heights-Murray Hill,848
Chinatown-Corona,848
South Slope-Greenwich Village,847
Gramercy-Claremont Village,847
Morris Heights-Washington Heights,847
Hell's Kitchen-Country Club,846
Little Italy-Elmhurst,846
Flushing Meadows Corona Park-West Village,846
Flatbush-Bushwick,845
Flatiron District-Kew Gardens Hills,845
Flatbush-East New York,844
Washington Heights-North Riverdale,843
Murray Hill-Belmont,843
Windsor Terrace-Crown Heights,843
Tribeca-Spuyten Duyvil,842
Woodside-Bedford-Stuyvesant,842
Midtown-Green-Wood Cemetery,842
Chelsea-Forest Park,842
Boerum Hill-Midwood,841
East Village-Hunts Point,840
Chelsea-Mill Basin,839
Tribeca-Woodhaven,839
Harlem-Bronxdale,839
Vinegar Hill-Lower East Side,839
Sunnyside-Mott Haven,838
John F. Kennedy International Airport-New Springville,837
Flatiron District-East New York,837
Flatiron District-Bayside,837
Chelsea-Bergen Beach,836
Harlem-Little Italy,836
Flatbush-Hell's Kitchen,836
Long Island City-Kingsbridge,835
Midtown-Shore Acres,835
Kingsbridge-Fordham,834
Astoria-South Ozone Park,834
DUMBO-Central Park,833
Morningside Heights-Elmhurst,833
Long Island City-East Flatbush,833
Midtown-Manhattan Beach,833
Harlem-Prospect Heights,832
Jackson Heights-College Point,832
Kips Bay-Cypress Hills,832
Columbia St-Gowanus,832
Elmhurst-Gramercy,832
Briarwood-Chelsea,832
trip_string,counts
Clinton Hill-East Harlem,831
Lower East Side-Riverdale,831
Chinatown-Canarsie,831
Kensington-Hell's Kitchen,830
Gramercy-Jamaica Estates,830
East Village-Jamaica Hills,830
Sunset Park-John F. Kennedy International Airport,830
Washington Heights-Chinatown,830
Gramercy-Allerton,830
Lower East Side-University Heights,829
Upper West Side-Pelham Gardens,829
Concourse Village-Mott Haven,829
Tribeca-Longwood,828
Brownsville-Bedford-Stuyvesant,828
John F. Kennedy International Airport-Eastchester,827
Forest Hills-Theater District,826
Astoria-Jamaica Estates,825
Lower East Side-Flushing Meadows Corona Park,825
Civic Center-Inwood,824
Ditmars Steinway-Concourse,824
Prospect Park-Upper East Side,824
Upper East Side-Edenwald,823
SoHo-Concourse Village,823
Maspeth-Flushing,823
Kips Bay-Mount Hope,823
Bushwick-Woodside,822
West Farms-West Farms,822
Bushwick-Elmhurst,822
Central Park-Fordham,821
Springfield Gardens-John F. Kennedy International Airport,821
Morningside Heights-Bushwick,821
Jamaica-LaGuardia Airport,821
Greenpoint-Civic Center,820
Columbia St-Upper West Side,820
Central Park-Spuyten Duyvil,820
Upper West Side-Queens Village,820
Financial District-Spuyten Duyvil,819
East Harlem-South Slope,819
Theater District-Edenwald,817
South Slope-Fort Hamilton,817
Hell's Kitchen-Castle Hill,816
Financial District-Whitestone,816
Theater District-Van Nest,815
Sunset Park-Tribeca,815
East Harlem-Spuyten Duyvil,815
Sheepshead Bay-Brighton Beach,814
Jackson Heights-Jamaica,814
Chinatown-Mott Haven,814
Harlem-North Riverdale,814
Kensington-East Flatbush,814
East Morrisania-East Morrisania,813
Theater District-Pelham Gardens,813
East Harlem-Schuylerville,812
Gramercy-Bath Beach,812
Lower East Side-Belmont,810
Clinton Hill-Ridgewood,809
Inwood-Marble Hill,809
East Harlem-Bronx Park,809
Prospect-Lefferts Gardens-Brownsville,809
Corona-Chelsea,809
Flatiron District-Soundview,809
Bushwick-Murray Hill,809
South Slope-Kips Bay,808
Harlem-Carroll Gardens,807
Jamaica-Briarwood,807
Washington Heights-Sunnyside,805
Prospect Heights-Civic Center,805
Jamaica-Flatiron District,804
Long Island City-Red Hook,804
Greenwich Village-Fieldston,804
Flushing-Theater District,804
Jamaica-Morningside Heights,803
Astoria-Flatbush,802
Columbia St-East Village,802
Upper West Side-Bath Beach,801
West Village-Throgs Neck,800
Flatiron District-Flatlands,799
Gramercy-Canarsie,799
Forest Hills-Williamsburg,799
Lower East Side-Morris Heights,798
Morningside Heights-Melrose,797
Greenwich Village-Highbridge,797
Prospect Heights-Ridgewood,797
Fort Greene-Canarsie,797
Hell's Kitchen-Bay Terrace,796
Fordham-Kingsbridge,796
Lower East Side-Whitestone,795
Gowanus-East Flatbush,794
Long Island City-Concourse,793
Harlem-Co-op City,793
Chinatown-Dyker Heights,793
Columbia St-Crown Heights,792
Hell's Kitchen-Edenwald,791
Williamsburg-Mott Haven,791
Stuyvesant Town-Prospect-Lefferts Gardens,790
Flushing-Flushing Meadows Corona Park,789
Little Italy-Bay Ridge,789
Red Hook-Fort Greene,789
Fort Greene-Corona,788
Cypress Hills-East New York,787
Central Park-Corona,787
Roosevelt Island-Sunnyside,787
Red Hook-South Slope,787
Corona-Hell's Kitchen,786
East Elmhurst-Mott Haven,786
Gramercy-Woodlawn,786
Long Island City-Fordham,786
Two Bridges-Crown Heights,786
Roosevelt Island-John F. Kennedy International Airport,785
Midtown-Glen Oaks,785
Two Bridges-Greenpoint,785
Kensington-Windsor Terrace,784
LaGuardia Airport-Eastchester,784
South Slope-NoHo,784
Chelsea-Rosedale,783
Elmhurst-West Village,781
Fort Greene-Morningside Heights,781
Murray Hill-Springfield Gardens,780
Brownsville-East Flatbush,780
Rego Park-Financial District,779
Kips Bay-Navy Yard,778
Flatiron District-Brighton Beach,778
Rego Park-East Village,778
Bay Ridge-Dyker Heights,778
West Village-Howard Beach,777
South Ozone Park-Central Park,776
John F. Kennedy International Airport-West Brighton,776
Ditmars Steinway-Longwood,776
Hell's Kitchen-St. Albans,776
Astoria-Concourse Village,776
Stuyvesant Town-Red Hook,775
East Elmhurst-Ridgewood,774
Boerum Hill-Navy Yard,774
Flatiron District-Norwood,772
West Village-Mount Hope,772
East Village-East Morrisania,771
South Ozone Park-East Harlem,771
East New York-Brownsville,771
Columbia St-Fort Greene,770
Chinatown-Navy Yard,770
Prospect Heights-Little Italy,770
Jackson Heights-Washington Heights,769
Gramercy-Morris Park,769
Two Bridges-DUMBO,769
Mott Haven-Morningside Heights,769
Sunnyside-Flatbush,768
Flushing Meadows Corona Park-SoHo,768
Brooklyn Heights-Sheepshead Bay,768
Morningside Heights-North Riverdale,767
Tribeca-Kew Gardens Hills,767
Greenwich Village-Flushing Meadows Corona Park,767
Nolita-Sheepshead Bay,766
Jackson Heights-Kips Bay,766
Maspeth-Financial District,765
Bushwick-Jackson Heights,765
Greenpoint-Vinegar Hill,764
Prospect-Lefferts Gardens-East New York,764
Morningside Heights-Claremont Village,764
Lower East Side-Marine Park,764
Boerum Hill-Brownsville,763
Crown Heights-Murray Hill,763
Fort Greene-Cypress Hills,762
Gramercy-Navy Yard,762
Elmhurst-Kew Gardens,762
Jamaica-Long Island City,761
Midtown-Rockaway Park,761
Murray Hill-University Heights,761
East Harlem-South Ozone Park,761
Crown Heights-Ridgewood,761
Randall's Island-Central Park,760
Sunset Park-Cobble Hill,760
Tribeca-Fordham,760
Upper East Side-Douglaston,760
Financial District-North Riverdale,760
Chelsea-Edenwald,760
Greenwich Village-Morris Heights,759
Theater District-Bay Terrace,759
Prospect Park-East Flatbush,759
Hell's Kitchen-Coney Island,759
Brooklyn Heights-Woodside,758
Battery Park City-Jamaica,757
Maspeth-Upper West Side,757
Midtown-South Beach,757
Bronx Park-Bronx Park,757
Bedford-Stuyvesant-Maspeth,756
Tribeca-Soundview,755
Boerum Hill-Jackson Heights,755
East Harlem-Van Nest,754
Kips Bay-Morrisania,753
Crown Heights-DUMBO,753
Upper East Side-Olinville,751
Harlem-Maspeth,751
DUMBO-Windsor Terrace,750
Washington Heights-Morrisania,750
Roosevelt Island-East Village,749
Vinegar Hill-Financial District,749
trip_string,counts
Bushwick-Tribeca,748
Civic Center-Ridgewood,748
Flatbush-Carroll Gardens,747
Kingsbridge-Harlem,747
Greenwich Village-Randall's Island,747
Financial District-St. George,747
Rego Park-Richmond Hill,747
Flatbush-Upper West Side,747
Lower East Side-Fresh Meadows,746
Upper West Side-Cypress Hills,746
Van Nest-Van Nest,745
Vinegar Hill-Chelsea,744
West Village-Fresh Meadows,744
Flatiron District-Throgs Neck,744
Chelsea-Country Club,743
Cobble Hill-Sunnyside,743
Lower East Side-Unionport,742
SoHo-Randall's Island,741
Woodside-Jamaica,741
Harlem-Two Bridges,739
Kew Gardens Hills-Flushing,739
Prospect Heights-Midwood,739
Sunset Park-Upper West Side,738
Laurelton-Laurelton,738
Randall's Island-Chelsea,738
Kips Bay-Throgs Neck,737
Astoria-South Slope,737
Civic Center-Rego Park,737
Theater District-Bellerose,737
Forest Hills-Ditmars Steinway,737
Concourse-Hell's Kitchen,737
Clinton Hill-Kensington,737
Roosevelt Island-Kips Bay,736
Midwood-Gravesend,736
Flushing-Woodside,735
Woodside-Morningside Heights,735
Briarwood-Kew Gardens,735
Jamaica Hills-Jamaica,734
Forest Hills-Hell's Kitchen,734
Astoria-Bay Ridge,734
Inwood-Theater District,733
Williamsburg-Brighton Beach,733
Theater District-Coney Island,733
Bedford-Stuyvesant-Bay Ridge,733
Greenwich Village-Mount Eden,733
Kips Bay-Mount Eden,732
Chelsea-Olinville,732
Bay Ridge-Bensonhurst,732
Financial District-College Point,730
Central Park-Melrose,730
East Harlem-Cobble Hill,729
Jackson Heights-Bushwick,729
Borough Park-Kensington,728
NoHo-Corona,728
Jackson Heights-Greenpoint,728
Forest Hills-Ozone Park,728
Carroll Gardens-Woodside,727
Lower East Side-Claremont Village,727
Chelsea-Cambria Heights,727
Greenwich Village-Belmont,727
Prospect-Lefferts Gardens-West Village,725
Murray Hill-Morris Heights,725
Downtown Brooklyn-Rego Park,725
Cobble Hill-Fort Hamilton,724
Park Slope-Forest Hills,724
Morningside Heights-Cobble Hill,724
Longwood-Concourse Village,724
John F. Kennedy International Airport-Randall Manor,724
Morningside Heights-Woodside,723
SoHo-North Riverdale,723
Rego Park-Briarwood,723
Astoria-Civic Center,722
East Elmhurst-Chinatown,722
Midtown-Todt Hill,722
Central Park-Ridgewood,721
Morningside Heights-Mount Eden,721
Forest Hills-South Ozone Park,721
Astoria-Fordham,721
Fort Greene-Flatlands,719
Kips Bay-Canarsie,719
Red Hook-Hell's Kitchen,719
Roosevelt Island-Theater District,719
Sunset Park-LaGuardia Airport,719
Columbia St-Bedford-Stuyvesant,717
Flushing-Jamaica,717
NoHo-Gravesend,717
Gowanus-Flatiron District,716
Jackson Heights-Ridgewood,716
SoHo-Fieldston,715
West Village-Unionport,715
Central Park-Columbia St,715
DUMBO-Bay Ridge,715
Carroll Gardens-Morningside Heights,714
South Slope-Chinatown,714
Bushwick-Nolita,714
Mott Haven-Highbridge,714
SoHo-Kew Gardens Hills,713
Crown Heights-Red Hook,713
Kips Bay-University Heights,712
Chelsea-Green-Wood Cemetery,712
SoHo-Cypress Hills,712
Williamsburg-Bayside,712
Richmond Hill-Chelsea,712
Elmhurst-Washington Heights,712
Windsor Terrace-Williamsburg,711
Greenwich Village-North Riverdale,711
SoHo-Woodhaven,710
East Harlem-Fieldston,710
Prospect Heights-Elmhurst,709
Financial District-Concord,709
Theater District-Castle Hill,709
Upper East Side-Pelham Bay Park,709
Civic Center-Bensonhurst,709
Carroll Gardens-Jackson Heights,708
Wakefield-Wakefield,708
Harlem-Clason Point,708
Kips Bay-Belmont,708
Central Park-Midwood,707
Mott Haven-LaGuardia Airport,707
Richmond Hill-Hell's Kitchen,706
Elmhurst-Flatiron District,705
Clinton Hill-Little Italy,705
Cypress Hills-Bedford-Stuyvesant,705
Long Island City-Cypress Hills,704
Astoria-Hunts Point,703
Morningside Heights-Port Morris,703
Carroll Gardens-Elmhurst,703
Morningside Heights-Boerum Hill,703
Financial District-Howard Beach,702
Battery Park City-Flushing Meadows Corona Park,701
Hell's Kitchen-Hollis,700
Forest Hills-Kips Bay,700
Morrisania-Longwood,700
Flatbush-LaGuardia Airport,700
Gramercy-Ozone Park,699
Harlem-Gowanus,699
Boerum Hill-Dyker Heights,699
Park Slope-Cypress Hills,699
Prospect Heights-Fort Hamilton,698
Flatiron District-Jamaica Estates,698
Boerum Hill-Ridgewood,697
Crown Heights-Midwood,696
Park Slope-Morningside Heights,696
Cobble Hill-Harlem,696
Ditmars Steinway-Port Morris,694
