FY,trip_string,total_trips
Year2,Mill Basin-LaGuardia Airport,1
Year1,Van Cortlandt Park-Bedford-Stuyvesant,1
Year1,Douglaston-Jamaica Estates,1
Year0,Claremont Village-Pelham Bay,2
Year1,Flushing-Hunts Point,2
Year2,Brooklyn Heights-West Farms,1
Year2,Claremont Village-Astoria,2
Year0,Rosedale-East Village,2
Year1,Park Hill-Long Island City,1
Year2,Flatbush-Parkchester,3
Year1,Two Bridges-Bronxdale,1
Year1,East Morrisania-Fort Hamilton,1
Year3,Maspeth-Bensonhurst,3
Year0,Astoria-Baychester,4
Year1,Randall's Island-Bayswater,1
Year1,Flatlands-Parkchester,1
Year0,Financial District-Ellis Island,1
Year0,Gravesend-Gowanus,1
Year3,East Harlem-Shore Acres,1
Year0,Arrochar-Longwood,1
Year0,New Dorp Beach-Great Kills Park,1
Year0,Douglaston-Crown Heights,2
Year1,East New York-Mount Hope,1
Year0,Flushing Meadows Corona Park-Hollis,3
Year2,Van Cortlandt Park-Bay Ridge,1
Year1,East New York-Floral Park,1
Year1,Bayside-East New York,1
Year1,Gowanus-Rosedale,2
Year0,Bushwick-Arverne,1
Year0,Highbridge-Throgs Neck,2
Year2,Van Nest-Crotona Park,1
Year3,East Elmhurst-Woodrow,2
Year1,Boerum Hill-Mount Hope,2
Year3,Kingsbridge-Fresh Meadows,1
Year0,Cypress Hills-Carroll Gardens,4
Year1,Bushwick-Schuylerville,2
Year1,Holliswood-Forest Hills,1
Year2,Belmont-North Riverdale,1
Year0,Little Neck-Woodhaven,1
Year1,Grymes Hill-LaGuardia Airport,1
Year0,South Ozone Park-Tremont,1
Year2,Bath Beach-Two Bridges,3
Year1,East Village-Edgemere,1
Year2,Mott Haven-Castleton Corners,1
Year0,Longwood-Nolita,1
Year0,Flatlands-Rockaway Beach,1
Year3,Edenwald-Concourse Village,1
Year0,Parkchester-Sunset Park,1
Year3,East Morrisania-East New York,1
Year3,Fordham-East New York,1
Year2,Windsor Terrace-Little Italy,2
Year3,Forest Hills-Oakwood,1
Year1,Park Hill-Concord,1
Year3,Mount Eden-Bronxdale,1
Year2,Concourse-Bayside,1
Year1,East Flatbush-Melrose,1
Year2,Holliswood-Windsor Terrace,1
Year0,Civic Center-Breezy Point,1
Year0,Oakwood-Hell's Kitchen,1
Year0,Cobble Hill-Edgemere,1
Year1,Laurelton-Bronxdale,1
Year0,Marble Hill-Jamaica Hills,1
Year2,Fieldston-South Ozone Park,1
FY,trip_string,total_trips
Year1,West Village-Chelsea,907206
Year1,Long Island City-John F. Kennedy International Airport,10759
Year1,Greenwich Village-Boerum Hill,5158
Year1,Williamsburg-Long Island City,19103
Year1,Tribeca-Carroll Gardens,8770
Year1,Boerum Hill-South Slope,2999
Year1,Gramercy-Little Italy,7010
Year1,Sunnyside-Middle Village,466
Year1,Floral Park-Floral Park,331
Year1,Financial District-NoHo,22392
Year1,Sunnyside-Maspeth,5645
Year3,Flatiron District-Flatiron District,35552
Year3,Midtown-Upper East Side,3745681
Year0,SoHo-West Village,328821
Year3,Morningside Heights-Harlem,69024
Year3,Inwood-Washington Heights,5398
Year3,Long Island City-Greenpoint,12444
Year3,Theater District-West Village,118251
Year3,Williamsburg-Lower East Side,27281
Year0,Nolita-Midtown,81148
Year3,Civic Center-Fort Greene,1761
Year3,Morningside Heights-Washington Heights,19942
Year3,Financial District-Stuyvesant Town,18855
Year0,Theater District-Battery Park City,75623
Year3,East Village-Greenpoint,32799
Year0,West Village-Gowanus,7659
Year3,Brooklyn Heights-Midtown,15069
Year3,Chelsea-Carroll Gardens,14237
Year3,Gramercy-Gowanus,2254
Year3,John F. Kennedy International Airport-Rosedale,9020
Year3,Midtown-Bay Ridge,9056
Year3,Chelsea-Brighton Beach,1115
Year3,Washington Heights-Crown Heights,91
Year3,West Village-Parkchester,485
Year0,John F. Kennedy International Airport-Gramercy,27245
Year3,Rego Park-Middle Village,283
Year3,Little Italy-Upper East Side,8453
Year0,Upper West Side-Park Slope,10663
Year2,Upper East Side-Hell's Kitchen,477121
Year3,Lower East Side-Woodhaven,603
Year2,Two Bridges-Lower East Side,3361
Year2,Forest Hills-Forest Hills,5404
Year2,Chinatown-Greenwich Village,17331
Year0,Brooklyn Heights-Bedford-Stuyvesant,3941
Year0,Lower East Side-Bushwick,28657
Year1,John F. Kennedy International Airport-St. Albans,4745
Year1,Clinton Hill-Gramercy,576
Year2,SoHo-Central Park,15458
Year2,Upper West Side-Port Morris,1957
Year1,Flatiron District-Maspeth,807
Year2,Midtown-Park Slope,40853
Year2,Tribeca-Central Park,10313
Year1,East Harlem-Woodside,1854
Year0,Upper East Side-South Slope,4683
Year1,Williamsburg-Rego Park,1035
Year1,Hell's Kitchen-Kingsbridge,4125
Year2,John F. Kennedy International Airport-Marine Park,2551
Year2,Midtown-St. George,148
Year2,John F. Kennedy International Airport-Red Hook,1938
Year1,LaGuardia Airport-Tremont,406
Year1,Boerum Hill-Cobble Hill,3055
Year0,Woodside-Ditmars Steinway,1702
Year0,Flatiron District-Ditmars Steinway,3886
Year1,Chelsea-Midwood,3456
Year0,Long Island City-Lower East Side,4820
Year2,Flatiron District-Sunset Park,1921
Year2,Boerum Hill-Red Hook,1988
Year2,Downtown Brooklyn-SoHo,6735
Year2,Washington Heights-Theater District,1812
Year2,Tribeca-Ditmars Steinway,2371
Year2,Borough Park-Park Slope,73
Year2,Harlem-Jackson Heights,605
Year0,Harlem-Gowanus,240
Year1,Ditmars Steinway-Gowanus,88
Year1,Morningside Heights-Mount Eden,165
Year3,Mount Eden-Longwood,40
Year3,Highbridge-Harlem,321
Year3,SoHo-Midwood,705
Year3,Nolita-Corona,198
Year2,Gramercy-Howard Beach,121
Year1,Kips Bay-Mount Hope,134
Year3,Corona-Forest Hills,210
Year0,Prospect Park-Williamsburg,1061
Year0,Longwood-East Elmhurst,13
Year1,Columbia St-Theater District,530
Year1,Bushwick-Kew Gardens,47
Year1,Stuyvesant Town-Flushing,287
Year1,Forest Hills-Morningside Heights,62
Year1,East Village-College Point,210
Year1,Chelsea-Baychester,183
Year2,City Island-Allerton,5
Year2,Cobble Hill-Flatiron District,1064
Year2,Chelsea-Fresh Meadows,666
Year0,Nolita-Ozone Park,56
Year0,Boerum Hill-Chinatown,1317
Year0,Carroll Gardens-Nolita,1302
Year0,Kips Bay-Bensonhurst,504
Year2,Hell's Kitchen-Arden Heights,33
Year1,Theater District-Flatlands,659
Year2,Williamsburg-East New York,715
Year1,Prospect-Lefferts Gardens-Gowanus,303
Year2,Bushwick-West Village,523
Year2,Fort Hamilton-Bergen Beach,5
Year3,Boerum Hill-Morningside Heights,55
Year3,Financial District-Broad Channel,27
Year2,Highbridge-Upper West Side,58
Year1,Floral Park-Bellerose,41
Year1,Astoria-Bay Ridge,230
Year3,Unionport-LaGuardia Airport,23
Year0,Downtown Brooklyn-Springfield Gardens,29
Year0,Upper West Side-West Farms,395
Year3,Lower East Side-Morrisania,139
Year2,Jamaica-Forest Park,6
Year2,Washington Heights-Fieldston,267
Year0,Ridgewood-Lower East Side,28
Year1,Greenpoint-Sheepshead Bay,99
Year1,Murray Hill-Briarwood,468
Year1,Astoria-Gravesend,56
Year1,Corona-Kew Gardens,28
Year2,Battery Park City-Woodside,274
Year0,Forest Hills-Financial District,439
Year0,Washington Heights-Bedford-Stuyvesant,154
Year0,Lower East Side-Navy Yard,450
Year0,Stuyvesant Town-Corona,88
Year0,Theater District-Cambria Heights,95
Year3,Murray Hill-Navy Yard,92
Year2,Chinatown-Concourse Village,132
Year0,Murray Hill-Bronxdale,119
Year1,Williamsburg-Flushing Meadows Corona Park,255
Year1,Gramercy-Brighton Beach,361
Year3,Tremont-Mount Hope,40
Year3,Washington Heights-Williamsburg,246
Year0,Civic Center-Gravesend,158
Year1,East Harlem-Midwood,128
Year2,Chinatown-East Elmhurst,451
Year0,Central Park-Flushing,524
Year2,Laurelton-Laurelton,111
Year2,Cobble Hill-East Harlem,298
Year2,Flushing Meadows Corona Park-Rego Park,20
Year2,Theater District-Brighton Beach,555
Year1,Murray Hill-Bergen Beach,58
Year1,Ridgewood-Kew Gardens,18
Year1,Hell's Kitchen-St. Albans,182
Year3,Gramercy-Dongan Hills,7
Year2,Ditmars Steinway-Sunset Park,62
Year0,Fort Hamilton-East New York,5
Year3,Downtown Brooklyn-Claremont Village,15
Year1,Springfield Gardens-Jamaica,136
Year2,Belmont-Concourse Village,8
Year2,Tribeca-Glendale,204
Year2,Melrose-Longwood,187
Year2,Kensington-Murray Hill,101
Year2,Brooklyn Heights-Roosevelt Island,42
Year0,North Riverdale-Inwood,30
Year3,Brooklyn Heights-Jackson Heights,205
Year2,Murray Hill-Mount Eden,115
Year1,Fort Greene-Richmond Hill,88
Year2,Fort Greene-Fordham,46
Year1,Long Island City-Country Club,66
Year1,Gowanus-Financial District,844
Year0,Ditmars Steinway-Two Bridges,24
Year3,Sunnyside-Crown Heights,324
Year0,Theater District-Douglaston,83
Year0,Howard Beach-Chelsea,7
Year0,Elmhurst-Hell's Kitchen,852
Year3,Navy Yard-Lower East Side,50
Year2,NoHo-Cambria Heights,6
Year2,Upper East Side-Castle Hill,479
Year1,Borough Park-Rego Park,3
Year2,Civic Center-Ditmars Steinway,219
Year0,Central Park-Springfield Gardens,38
Year1,East Village-Van Cortlandt Park,151
Year3,Long Island City-Jamaica,812
Year1,NoHo-Jamaica Estates,69
Year0,Financial District-Mount Hope,88
Year1,East Elmhurst-College Point,277
Year3,Fort Greene-West Farms,6
Year2,Inwood-Unionport,17
Year1,Civic Center-Borough Park,271
Year1,Greenpoint-Brownsville,36
Year2,Throgs Neck-Richmond Hill,4
Year2,South Ozone Park-Greenwich Village,248
Year1,Fort Greene-Midwood,306
Year3,Flushing-Ridgewood,26
Year0,Williamsburg-Bergen Beach,33
Year2,Brighton Beach-Coney Island,36
Year3,SoHo-City Island,34
Year3,Central Park-Castle Hill,18
Year3,SoHo-Stapleton,12
Year0,Woodlawn-Mount Hope,1
Year0,SoHo-Mott Haven,538
Year0,Midwood-East Flatbush,67
Year2,Unionport-Clason Point,45
Year2,Spuyten Duyvil-Upper West Side,28
Year3,Downtown Brooklyn-Gravesend,193
Year3,Flatiron District-Mill Basin,35
Year3,St. George-St. George,42
Year0,Rego Park-College Point,73
Year3,East Flatbush-LaGuardia Airport,44
Year0,Little Italy-Kensington,158
Year0,Clinton Hill-Maspeth,44
Year3,Gramercy-Unionport,166
Year0,Tremont-Crotona Park,17
Year3,East Harlem-Hollis,45
Year3,Mariners Harbor-Mariners Harbor,94
Year0,Kips Bay-Rockaway Beach,18
Year3,Flatbush-Dyker Heights,37
Year1,Allerton-Norwood,42
Year3,Little Italy-Bronx Park,5
Year3,Kips Bay-Forest Park,69
Year2,Morningside Heights-Tremont,55
Year2,Morris Heights-Norwood,22
Year2,Kew Gardens-Broad Channel,1
Year1,Lower East Side-Breezy Point,20
Year0,Civic Center-Ozone Park,36
Year1,Bay Ridge-LaGuardia Airport,41
Year0,Woodhaven-Rego Park,134
Year1,Melrose-Pelham Gardens,2
Year3,Red Hook-Murray Hill,32
Year0,Melrose-Theater District,32
Year2,Prospect Park-Washington Heights,12
Year2,Flushing Meadows Corona Park-Middle Village,6
Year1,NoHo-Morrisania,27
Year0,Carroll Gardens-Richmond Hill,24
Year0,Navy Yard-East Elmhurst,4
Year3,Jamaica Estates-Hollis,16
Year3,Flatiron District-Manhattan Beach,19
Year3,East Village-Castleton Corners,53
Year2,Richmond Hill-Central Park,29
Year0,Concourse-Port Morris,51
Year1,East Harlem-Cypress Hills,105
Year0,NoHo-Bath Beach,112
Year1,Boerum Hill-Tremont,3
Year0,Prospect Heights-Ozone Park,51
Year3,Fort Hamilton-Bedford-Stuyvesant,25
Year1,Maspeth-Mott Haven,11
Year2,Highbridge-Schuylerville,4
Year0,East Flatbush-Williamsburg,65
Year3,Little Italy-Queens Village,6
Year2,Vinegar Hill-Hell's Kitchen,73
Year1,Greenpoint-Woodhaven,74
Year1,Sheepshead Bay-Mill Basin,33
Year3,Red Hook-Upper West Side,79
Year2,Dyker Heights-Bath Beach,36
Year0,Dyker Heights-Sunset Park,48
Year0,Claremont Village-Marble Hill,3
Year3,Park Slope-Floyd Bennett Field,10
Year3,Morris Heights-Marble Hill,5
Year2,Marine Park-SoHo,2
Year0,Green-Wood Cemetery-Kensington,45
Year0,Inwood-Sunnyside,31
Year2,Belmont-Upper East Side,22
Year0,Riverdale-Mott Haven,2
Year0,Whitestone-Astoria,11
Year2,Long Island City-Coney Island,28
Year0,Bensonhurst-Forest Hills,3
Year1,Port Morris-Norwood,22
Year2,Windsor Terrace-Bensonhurst,38
Year0,Fort Greene-Bay Terrace,15
Year1,LaGuardia Airport-Grymes Hill,60
Year1,Richmond Hill-Concourse,1
Year0,Vinegar Hill-Kensington,21
Year2,Kingsbridge-Long Island City,19
Year2,West Farms-Longwood,36
Year1,Lower East Side-Rosedale,49
Year1,Fort Hamilton-South Slope,24
Year1,Sunset Park-Washington Heights,54
Year2,Morris Heights-Hunts Point,10
Year0,Prospect Park-Brighton Beach,13
Year3,East Morrisania-Hell's Kitchen,3
Year2,Throgs Neck-Longwood,16
Year3,Navy Yard-Cobble Hill,17
Year0,Ozone Park-West Village,21
Year3,NoHo-Claremont Village,29
Year2,Inwood-Williamsbridge,22
Year1,West Farms-Clason Point,6
Year1,Fort Hamilton-St. George,1
Year3,Kingsbridge-Morris Heights,103
Year2,Battery Park City-Rockaway Park,7
Year1,Ferry Point Park-College Point,2
Year1,Red Hook-Maspeth,8
Year2,Pelham Gardens-Williamsbridge,7
Year1,Inwood-Wakefield,17
Year0,South Slope-Navy Yard,19
Year3,Hell's Kitchen-Glen Oaks,26
Year2,Cunningham Park-Jamaica Estates,4
Year3,Park Slope-Allerton,10
Year0,Flushing-Douglaston,31
Year2,Maspeth-Cobble Hill,9
Year1,Flatlands-Prospect Park,6
Year1,Cypress Hills-Greenpoint,4
Year3,Spuyten Duyvil-John F. Kennedy International Airport,3
Year0,East Harlem-Marine Park,17
Year2,Springfield Gardens-East New York,16
Year0,Bronxdale-Melrose,3
Year0,Ditmars Steinway-Brighton Beach,4
Year2,Throgs Neck-Washington Heights,8
Year2,Claremont Village-West Farms,16
Year2,Queens Village-LaGuardia Airport,15
Year0,Stuyvesant Town-Williamsbridge,11
Year0,Little Italy-Randall's Island,7
Year2,NoHo-Westerleigh,5
Year3,Clinton Hill-Richmond Hill,16
Year1,NoHo-New Dorp,2
Year3,Soundview-Wakefield,11
Year2,Civic Center-Cambria Heights,5
Year1,East Harlem-Bayswater,10
Year1,Flatbush-Wakefield,4
Year1,Mount Eden-Wakefield,7
Year0,Astoria-Floyd Bennett Field,3
Year3,University Heights-Central Park,1
Year0,Flatbush-Bellerose,2
Year3,Bedford-Stuyvesant-Bergen Beach,11
Year1,Jamaica Hills-College Point,20
Year1,Crown Heights-Briarwood,7
Year0,Morningside Heights-Woodhaven,22
Year1,Cypress Hills-Rego Park,6
Year2,Downtown Brooklyn-Broad Channel,1
Year3,Central Park-Clifton,1
Year0,Mott Haven-Clason Point,25
Year1,Cobble Hill-Far Rockaway,2
Year1,Boerum Hill-Kew Gardens,25
Year1,Marine Park-Midtown,9
Year1,Brooklyn Heights-Mariners Harbor,1
Year2,Kensington-Cypress Hills,7
Year2,South Ozone Park-Riverdale,2
Year3,Marine Park-Bedford-Stuyvesant,5
Year0,Pelham Gardens-Williamsbridge,6
Year2,Fresh Meadows-Holliswood,6
Year1,West Farms-Port Morris,4
Year2,Broad Channel-Jackson Heights,1
Year2,Brooklyn Heights-University Heights,5
Year3,South Ozone Park-Arverne,3
Year3,Sunnyside-Holliswood,5
Year1,Cambria Heights-Upper East Side,6
Year3,Park Slope-Longwood,3
Year0,Forest Hills-Navy Yard,3
Year0,Broad Channel-Rockaway Park,3
Year0,Rosebank-Silver Lake,2
Year0,West Village-Alley Pond Park,4
Year1,Chinatown-Graniteville,4
Year1,East Morrisania-Washington Heights,14
Year2,Kew Gardens Hills-Sheepshead Bay,3
Year2,Civic Center-Westerleigh,2
Year1,Spuyten Duyvil-Norwood,7
Year3,Tribeca-Rosedale,23
Year3,Park Hill-Financial District,1
Year3,South Ozone Park-Columbia St,5
Year2,Mill Basin-Harlem,1
Year2,Howard Beach-Elmhurst,1
Year0,Marble Hill-LaGuardia Airport,6
Year0,Chelsea-Port Richmond,21
Year2,Randall Manor-Tribeca,2
Year1,Marine Park-Greenwich Village,1
Year0,St. Albans-Nolita,2
Year2,Belmont-Morris Heights,8
Year1,Sheepshead Bay-Mott Haven,1
Year1,Sunnyside-Mariners Harbor,2
Year2,Claremont Village-East Village,3
Year2,Cypress Hills-Gerritsen Beach,3
Year0,Latourette Park-Richmondtown,2
Year3,Tribeca-Far Rockaway,15
Year3,Concourse-Edenwald,6
Year1,Astoria-Bergen Beach,5
Year1,Westchester Square-Hunts Point,2
Year3,Ditmars Steinway-Cunningham Park,2
Year1,Port Morris-Pelham Bay,4
Year3,Kew Gardens Hills-Ozone Park,8
Year3,Two Bridges-Jamaica Hills,3
Year1,Flatiron District-Rikers Island,1
Year2,Gowanus-Queens Village,2
Year3,Borough Park-Marine Park,6
Year0,Nolita-Eastchester,3
Year1,DUMBO-Hollis,4
Year3,University Heights-Bronx Park,2
Year3,Inwood-Sheepshead Bay,3
Year1,Fresh Meadows-Forest Park,1
Year2,East Flatbush-East Harlem,14
Year3,Bath Beach-East Harlem,2
Year1,Parkchester-Flatlands,1
Year2,College Point-Gravesend,2
Year2,Fordham-Port Morris,9
Year3,Clason Point-East Harlem,10
Year0,Crown Heights-Kingsbridge,8
Year2,Jackson Heights-Bronx Park,4
Year0,Kew Gardens Hills-Howard Beach,2
Year0,Schuylerville-Hell's Kitchen,2
Year2,Melrose-Roosevelt Island,2
Year2,Schuylerville-Country Club,6
Year2,Jamaica-Vinegar Hill,3
Year1,Baychester-Morris Park,1
Year2,Rego Park-Little Italy,5
Year1,Corona-Sunset Park,4
Year2,Brighton Beach-Melrose,1
Year0,Arlington-Mariners Harbor,1
Year0,Woodlawn-Throgs Neck,5
Year0,Morningside Heights-Marine Park,4
Year1,Midland Beach-Stapleton,1
Year1,Briarwood-Carroll Gardens,2
Year3,Richmond Hill-Prospect-Lefferts Gardens,3
Year3,East Harlem-Clifton,6
Year1,Clason Point-Throgs Neck,6
Year1,Williamsburg-Broad Channel,7
Year3,West Brighton-Midtown,1
Year1,Gowanus-Morris Park,1
Year0,Kingsbridge-Bushwick,1
Year0,Boerum Hill-Randall Manor,4
Year3,Woodhaven-Crown Heights,6
Year0,Douglaston-Chelsea,1
Year2,Elmhurst-Pelham Bay,5
Year1,Mott Haven-Bensonhurst,1
Year1,Canarsie-St. Albans,5
Year1,Briarwood-Douglaston,2
Year0,Schuylerville-Kingsbridge,3
Year1,East Flatbush-DUMBO,5
Year2,Douglaston-Jackson Heights,1
Year2,Fordham-Tribeca,4
Year0,Melrose-Chinatown,2
Year2,Hollis-Fresh Meadows,2
Year2,Middle Village-Bay Ridge,1
Year2,Clifton-Chelsea,1
Year3,Morris Heights-West Village,1
Year0,Liberty Island-Nolita,1
Year1,Laurelton-Financial District,1
Year0,Concourse-Corona,4
Year1,Tremont-Gramercy,1
Year0,Allerton-Melrose,2
Year2,Morris Heights-Glendale,1
Year2,North Riverdale-Belmont,2
Year2,Carroll Gardens-University Heights,2
Year2,Morris Park-Fieldston,1
Year2,Battery Park City-Holliswood,2
Year0,Port Richmond-South Beach,1
Year2,Unionport-Riverdale,2
Year3,"Central Park-Chelsea, Staten Island",2
Year3,Elmhurst-Bath Beach,3
Year2,Bronx Park-Marble Hill,1
Year1,Castle Hill-Ferry Point Park,1
Year0,Kingsbridge-Stuyvesant Town,3
Year2,Port Morris-Country Club,1
Year2,Richmond Hill-Fieldston,1
Year2,Belmont-Ferry Point Park,1
Year3,South Slope-Dongan Hills,1
Year1,Woodside-Bayswater,1
Year3,Two Bridges-Bergen Beach,2
Year1,Stapleton-Chelsea,2
Year2,Williamsbridge-Morris Park,6
Year2,Morris Park-Concourse Village,2
Year3,East Flatbush-Allerton,1
Year1,Schuylerville-Wakefield,1
Year2,Canarsie-Navy Yard,1
Year0,Rossville-Huguenot,1
Year1,Little Neck-Central Park,1
Year0,Huguenot-Eltingville,2
Year3,Flushing Meadows Corona Park-DUMBO,3
Year1,Hell's Kitchen-Charleston,2
Year1,Coney Island-Prospect Heights,1
Year3,Cambria Heights-Downtown Brooklyn,1
Year1,Sheepshead Bay-New Dorp,1
Year3,Little Italy-Schuylerville,2
Year0,Boerum Hill-Williamsbridge,2
Year2,Schuylerville-Midtown,4
Year2,Middle Village-Cunningham Park,1
Year0,Middle Village-Douglaston,1
Year1,Glendale-Norwood,1
Year2,Schuylerville-Whitestone,1
Year3,East New York-Little Italy,1
Year2,Clinton Hill-Douglaston,1
Year2,Howard Beach-Jackson Heights,1
Year1,Rego Park-Pelham Bay Park,1
Year1,East New York-Jamaica Hills,2
Year3,Brooklyn Heights-Claremont Village,4
Year2,College Point-Unionport,1
Year3,Sheepshead Bay-Douglaston,1
Year2,St. George-Port Richmond,1
Year1,Borough Park-Central Park,2
Year2,Flatlands-Rockaway Park,1
Year0,Gravesend-Kew Gardens Hills,1
Year3,Gravesend-Richmond Hill,2
Year1,Jamaica Hills-Morris Heights,1
Year3,Woodhaven-Belmont,1
Year3,West Farms-College Point,1
Year2,Claremont Village-Castle Hill,2
Year1,Bay Ridge-South Beach,1
Year2,Flatlands-Washington Heights,1
Year1,Rosedale-Lower East Side,1
Year1,Central Park-Oakwood,2
Year1,Pelham Gardens-SoHo,1
Year0,Todt Hill-New Brighton,1
Year3,Corona-Douglaston,1
Year2,Briarwood-Norwood,3
Year3,Soundview-North Riverdale,1
Year2,"Kips Bay-Chelsea, Staten Island",2
Year1,Briarwood-North Riverdale,1
Year3,New Dorp-New Dorp Beach,1
Year0,Carroll Gardens-Fieldston,1
Year1,Gravesend-Kew Gardens,1
Year2,Fordham-Flatbush,2
Year3,Bushwick-Arverne,1
Year1,Forest Hills-Marble Hill,1
Year0,Van Nest-Ferry Point Park,1
Year1,Pelham Bay-Astoria,1
Year2,Mill Basin-Rockaway Beach,1
Year1,Douglaston-East Village,1
Year1,Fort Hamilton-Westerleigh,1
Year1,Springfield Gardens-Prince's Bay,1
Year3,Crown Heights-Eastchester,1
Year0,Civic Center-Cunningham Park,2
Year0,Hollis-Civic Center,1
Year1,Morningside Heights-Bull's Head,1
Year3,Brighton Beach-Briarwood,1
FY,trip_string,total_trips
Year1,LaGuardia Airport-Astoria,52685
Year1,Woodside-Astoria,7298
Year1,John F. Kennedy International Airport-Bayside,6951
Year1,Fort Greene-John F. Kennedy International Airport,1849
Year1,East Village-Park Slope,31705
Year1,Downtown Brooklyn-Murray Hill,5012
Year1,Chinatown-Vinegar Hill,799
Year1,NoHo-Morningside Heights,2762
Year0,Chelsea-Financial District,272478
Year0,John F. Kennedy International Airport-Park Slope,26552
Year0,Financial District-Chinatown,56169
Year0,Theater District-Midwood,1534
Year0,Central Park-John F. Kennedy International Airport,15508
Year0,Murray Hill-Kew Gardens,775
Year0,Financial District-Carroll Gardens,7724
Year0,Civic Center-Williamsburg,6085
Year0,Tribeca-Long Island City,5929
Year0,Chelsea-Windsor Terrace,5515
Year0,Greenwich Village-Bushwick,9325
Year1,Gramercy-Sunnyside,6414
Year0,Woodside-Central Park,862
Year0,Woodside-SoHo,567
Year2,Chelsea-Battery Park City,188475
Year2,Vinegar Hill-Lower East Side,166
Year2,Gramercy-Soundview,286
Year2,Financial District-East Harlem,14020
Year2,Gramercy-Stuyvesant Town,38667
Year2,Financial District-Park Slope,13723
Year2,Hell's Kitchen-Civic Center,9300
Year2,Downtown Brooklyn-Flatbush,1695
Year2,Midtown-Randall Manor,111
Year2,Battery Park City-Flushing Meadows Corona Park,173
Year2,Fort Greene-Morningside Heights,152
Year2,Midtown-Throgs Neck,2062
Year2,Tribeca-Flatbush,3378
Year2,Gramercy-Sheepshead Bay,818
Year2,LaGuardia Airport-Cypress Hills,1461
Year2,SoHo-Roosevelt Island,645
Year2,Park Slope-Cobble Hill,2259
Year2,Upper East Side-Shore Acres,72
Year2,Vinegar Hill-Civic Center,72
Year2,Murray Hill-Civic Center,7911
Year2,John F. Kennedy International Airport-Bayswater,1042
Year2,Flushing Meadows Corona Park-Upper East Side,615
Year0,Flatbush-Flushing,19
Year0,SoHo-Jackson Heights,3153
Year1,Flushing-Midtown,746
Year1,Washington Heights-Melrose,222
Year3,Central Park-Upper East Side,425424
Year3,SoHo-Two Bridges,2831
Year3,East Village-Clinton Hill,16300
Year3,Mott Haven-Midtown,510
Year3,Theater District-Ditmars Steinway,11021
Year2,Sunnyside-Kew Gardens,250
Year3,Brooklyn Heights-Fort Hamilton,524
Year3,Midtown-Inwood,18584
Year3,LaGuardia Airport-Civic Center,4276
Year2,Chelsea-Ozone Park,961
Year3,Theater District-Flushing,3755
Year3,SoHo-Marble Hill,49
Year1,Downtown Brooklyn-Flushing Meadows Corona Park,129
Year3,Fort Greene-Park Slope,4239
Year3,Harlem-Mott Haven,7122
Year3,Bedford-Stuyvesant-Brownsville,1242
Year3,Crown Heights-Prospect Park,300
Year3,Financial District-Gowanus,4548
Year0,Boerum Hill-Kensington,998
Year3,Elmhurst-Upper East Side,1026
Year3,LaGuardia Airport-Kingsbridge,3393
Year3,Theater District-Hollis,145
Year0,East Harlem-Roosevelt Island,851
Year2,Ditmars Steinway-Forest Hills,414
Year0,Port Morris-Theater District,96
Year0,Gramercy-East Flatbush,929
Year3,Prospect Heights-East Village,1601
Year0,Brooklyn Heights-East Harlem,989
Year0,West Village-Unionport,234
Year3,SoHo-Bronx Park,32
Year2,Mount Eden-Belmont,24
Year1,Upper East Side-Soundview,2581
Year1,Theater District-Parkchester,1517
Year2,West Village-Bayswater,6
Year1,Prospect Park-Midtown,464
Year2,Kensington-Kensington,3720
Year2,Little Italy-Stuyvesant Town,1547
Year3,Upper East Side-Fieldston,2388
Year1,Jamaica-Kew Gardens,85
Year1,Prospect-Lefferts Gardens-Bedford-Stuyvesant,1327
Year3,Theater District-Randall's Island,304
Year2,Upper West Side-Columbia St,738
Year3,Midtown-Navy Yard,574
Year3,Astoria-SoHo,619
Year0,West Village-St. Albans,54
Year2,Park Slope-SoHo,1589
Year2,Columbia St-LaGuardia Airport,447
Year0,Bushwick-Cobble Hill,136
Year1,South Slope-Murray Hill,290
Year0,Tribeca-Brownsville,217
Year3,Prospect Heights-Murray Hill,533
Year1,Bushwick-John F. Kennedy International Airport,498
Year2,Astoria-Crown Heights,529
Year3,Theater District-Tremont,400
Year0,Upper West Side-Jamaica Hills,140
Year2,John F. Kennedy International Airport-Floyd Bennett Field,295
Year2,Cobble Hill-Prospect-Lefferts Gardens,488
Year3,Williamsburg-Glendale,913
Year1,John F. Kennedy International Airport-Westchester Square,558
Year2,Ditmars Steinway-Corona,245
Year0,Woodhaven-Murray Hill,26
Year0,Floyd Bennett Field-Floyd Bennett Field,211
Year3,Sunnyside-East Morrisania,25
Year3,Sheepshead Bay-Cypress Hills,12
Year2,Bushwick-Stuyvesant Town,98
Year0,South Ozone Park-East New York,67
Year0,Longwood-Upper East Side,184
Year3,Bushwick-Theater District,157
Year2,Rego Park-Richmond Hill,176
Year1,Rego Park-SoHo,233
Year0,Flushing-Norwood,2
Year0,John F. Kennedy International Airport-City Island,351
Year0,Chelsea-Van Nest,297
Year3,Port Morris-Longwood,151
Year3,Red Hook-Gowanus,309
Year3,Chelsea-Clason Point,367
Year2,Bedford-Stuyvesant-Richmond Hill,59
Year3,West Village-Jamaica,424
Year1,Randall's Island-Battery Park City,25
Year1,Tremont-Murray Hill,5
Year2,Chelsea-Gerritsen Beach,108
